,Team,Name,Level,Pos,Yrs,Cost,Note,Options,FangraphsId,EspnId
248,Young Bucks,Brandon Pfaadt,MLB,SP,1,$1.00,@,,27782,4721302
249,Young Bucks,Brayan Bello,MLB,SP,1,$1.00,@,,23920,4720856
250,Springfield Zephyrs,Bryson Stott,MLB,2B,1,$1.00,@,,26294,42417
251,Ryno World,Vaughn Grissom,MLB,2B,1,$2.10,,,26031,42503
252,Orlando Renegades,Cedric Mullins,MLB,OF,1,$1.05,,,17929,35578
253,Midtown Jaguars,Joe Musgrove,MLB,SP,1,$9.70,,,12970,34848
254,Midtown Jaguars,Nolan Arenado,MLB,3B,1,$3.55,,,9777,31261
255,Midtown Jaguars,Jordan Montgomery,MLB,SP,1,$3.00,,,16511,38173
256,Midtown Jaguars,Braxton Garrett,MLB,SP,1,$2.05,,,21844,40971
257,Midtown Jaguars,Jazz Chisholm,MLB,2B,1,40%,¹,,20454,41433
258,Midtown Jaguars,Keibert Ruiz,MLB,C,1,40%,¹,,19610,38827
259,Midtown Jaguars,Seiya Suzuki,MLB,OF,1,40%,¹,,30116,4142424
260,Midtown Jaguars,Vinnie Pasquantino,MLB,1B,1,$1.00,@,,27676,4109109
261,Midtown Jaguars,Hunter Brown,MLB,SP,1,$1.00,@,,25880,4717803
262,Orlando Renegades,Yordan Alvarez,MLB,OF,1,80%,³,,19556,36018
263,Orlando Renegades,Jordan Westburg,MLB,2B,1,$1.00,,,27815,4298641
264,Ryno World,Max Scherzer,MLB,SP,1,$1.00,,,3137,28976
265,Orlando Renegades,Andrew Vaughn,AAA,1B,1,$-,@,,26197,42394
266,Orlando Renegades,Sean Murphy,MLB,C,1,80%,³,,19352,33557
267,Ryno World,Triston McKenzie,MLB,SP,1,$2.90,,,18000,34954
268,Ryno World,Rhys Hoskins,MLB,1B,1,$2.69,,,16472,35291
269,Ryno World,Jack Flaherty,MLB,SP,1,$2.05,,,17479,33837
270,Ryno World,Jose Miranda,MLB,3B,1,$1.00,@,,20538,41000
271,Ryno World,George Kirby,MLB,SP,1,$1.00,@,,25436,42406
272,Ryno World,Michael Kopech,MLB,RP,1,$1.00,@,,17282,33763
273,FA,Mitchell Parker,MLB,SP,1,$1.00,,,27636,
274,FA,Clayton Kershaw,MLB,SP,1,$1.00,,,2036,28963
275,FA,Merrill Kelly,MLB,SP,1,$1.00,,,11156,32968
276,FA,Jonah Heim,MLB,C,1,$1.00,,,16930,33842
277,FA,Aaron Judge,MLB,OF,1,$1.00,,,15640,33192
278,FA,Shohei Ohtani,MLB,DH,1,$1.00,,,19755,39832
279,FA,Shohei Ohtani,MLB,DH,1,$1.00,,,19755,39832
280,FA,Marcell Ozuna,MLB,DH,1,$1.00,,,10324,31668
281,FA,Joey Meneses,MLB,DH,1,$1.00,,,14366,34534
282,FA,Willson Contreras,MLB,C,1,$1.00,,,11609,32532
283,FA,William Contreras,MLB,C,1,$1.00,,,20503,39895
284,FA,Will Smith,MLB,C,1,$1.00,,,8048,31549
285,FA,Will Smith,MLB,C,1,$1.00,,,19197,38309
286,FA,Salvador Perez,MLB,C,1,$1.00,,,7304,31127
287,FA,Patrick Bailey,MLB,C,1,$1.00,,,27478,4345843
288,FA,Mitch Garver,MLB,C,1,$1.00,,,15161,33667
289,FA,Connor Wong,MLB,C,1,$1.00,,,19896,40086
290,FA,Otto Lopez,MLB,OF,1,$1.00,,,19608,41917
291,FA,Cal Raleigh,MLB,C,1,$1.00,,,21534,41292
292,FA,Ben Rice,MLB,C,1,$1.00,,,29576,
293,FA,Yoan Moncada,MLB,3B,1,$1.00,,,17232,33984
294,FA,Tyler Freeman,MLB,3B,1,$1.00,,,22532,40958
295,FA,Max Muncy,MLB,3B,1,$1.00,,,13301,33303
296,FA,Mark Vientos,MLB,3B,1,$1.00,,,22184,41034
297,FA,Jose Ramirez,MLB,3B,1,$1.00,,,13510,32801
298,FA,Jose Ramirez,MLB,3B,1,$1.00,,,10171,32603
299,FA,Jake Burger,MLB,3B,1,$1.00,,,22275,39882
300,FA,Isaac Paredes,MLB,3B,1,$1.00,,,20036,39706
301,FA,Anthony Rendon,MLB,3B,1,$1.00,,,12861,32098
302,FA,Adalberto Mondesi,MLB,3B,1,$1.00,,,13769,32821
303,FA,Anthony Santander,MLB,OF,1,$1.00,,,14551,36084
304,FA,Austin Meadows,MLB,OF,1,$1.00,,,15672,33197
305,FA,Brendan Donovan,MLB,OF,1,$1.00,,,24679,41773
306,FA,Mike Trout,MLB,OF,1,$1.00,,,10155,30836
307,Cheating Raiders,Austin Riley,MLB,3B,1,60%,²,,18360,34982
308,FA,Max Kepler,MLB,OF,1,$1.00,,,12144,31870
309,FA,Masataka Yoshida,MLB,OF,1,$1.00,,,31837,4872598
310,FA,Mark Canha,MLB,OF,1,$1.00,,,11445,31670
311,FA,Lane Thomas,MLB,OF,1,$1.00,,,16939,36409
312,FA,Kyle Schwarber,MLB,OF,1,$1.00,,,16478,33712
313,FA,Jurickson Profar,MLB,OF,1,$1.00,,,10815,31117
314,FA,Jorge Soler,MLB,OF,1,$1.00,,,14221,32558
315,Bayou Shooters,Jonathan India,MLB,2B,1,60%,²,,21523,41171
316,Bayou Shooters,Gavin Lux,MLB,SS,1,60%,²,,19955,40423
317,Bayou Shooters,MJ Melendez,MLB,OF,1,$1.00,@,,22197,40948
318,Bayou Shooters,Chris Paddack,MLB,SP,1,$1.00,,,20099,35999
319,Bayou Shooters,Mike Soroka,MLB,SP,1,$1.00,,,18383,34984
320,FA,Jesus Sanchez,MLB,OF,1,$1.00,,,19913,39957
321,FA,George Springer,MLB,OF,1,$1.00,,,12856,32078
322,FA,David Fry,MLB,OF,1,$1.00,,,24934,
323,FA,Christian Yelich,MLB,OF,1,$1.00,,,11477,31283
324,FA,Chas McCormick,MLB,OF,1,$1.00,,,19599,40574
325,FA,Bryan Reynolds,MLB,OF,1,$1.00,,,19326,38980
326,FA,Brenton Doyle,MLB,OF,1,$1.00,,,25479,42462
327,FA,Ozzie Albies,MLB,2B,1,$1.00,,,16556,33783
328,FA,Gleyber Torres,MLB,2B,1,$1.00,,,16997,33804
329,Dip City Thunder,Jarren Duran,MLB,OF,1,$1.00,@,,24617,41610
330,Dip City Thunder,Spencer Steer,MLB,1B,1,$1.00,@,,26323,4722857
331,Dip City Thunder,Jeremy Pena,MLB,SS,1,40%,¹,,21636,41273
332,Dip City Thunder,Julio Rodriguez,MLB,OF,1,40%,¹,,23697,41044
333,Cheating Raiders,Dylan Cease,MLB,SP,1,60%,²,,18525,34943
334,Cheating Raiders,Logan Gilbert,MLB,SP,1,40%,¹,,22250,41221
335,Cheating Raiders,Tarik Skubal,MLB,SP,1,40%,¹,,22267,42409
336,Cheating Raiders,Adolis Garcia,MLB,OF,1,$6.40,,,19287,35537
337,Cheating Raiders,Cody Bellinger,MLB,OF,1,$1.50,,,15998,33912
338,Detroit Nittany Tide,Nick Lodolo,MLB,SP,1,$1.00,@,,26378,42433
339,Detroit Nittany Tide,Hunter Greene,MLB,SP,1,$1.00,@,,22182,39635
340,Detroit Nittany Tide,Ian Anderson,MLB,SP,1,60%,²,,19951,40916
341,Detroit Nittany Tide,Tyler Mahle,MLB,SP,1,$1.85,,,16358,34973
342,Detroit Nittany Tide,Alex Bregman,MLB,3B,1,$6.50,,,17678,34886
343,Cheating Raiders,Adley Rutschman,MLB,C,1,$1.00,@,,26288,42178
344,Country Strong,Roansy Contreras,AAA,SP,1,$1.00,,,22810,40967
345,Country Strong,Josh Jung,MLB,3B,1,$1.00,@,,26299,42437
346,Country Strong,Rowdy Tellez,AAA,1B,1,$2.00,,,15679,34287
347,Country Strong,Carlos Rodon,MLB,SP,1,$5.50,,,16137,33696
348,Country Strong,Corey Seager,MLB,SS,1,$7.50,,,13624,32691
349,Country Strong,Freddy Peralta,MLB,SP,1,60%,²,,18679,39825
350,Country Strong,Brandon Lowe,MLB,2B,1,60%,²,,18882,39961
351,Cheating Raiders,Bobby Witt Jr.,MLB,SS,1,$1.00,@,,25764,42403
352,Dip City Thunder,Alec Bohm,MLB,3B,1,60%,²,,21618,41169
353,Dip City Thunder,Tylor Megill,AA,SP,1,40%,,,21318,3332018
354,FA,Xavier Edwards,MLB,2B,1,$1.00,,,22266,41326
355,Cheating Raiders,Nico Hoerner,MLB,2B,1,60%,²,,21479,41219
356,FA,Willi Castro,MLB,2B,1,$1.00,,,17338,34230
357,FA,Tommy Edman,MLB,2B,1,$1.00,,,19470,39907
358,FA,Ramon Urias,MLB,2B,1,$1.00,,,18795,40610
359,FA,Mookie Betts,MLB,2B,1,$1.00,,,13611,33039
360,FA,Marcus Semien,MLB,2B,1,$1.00,,,12533,32146
361,FA,Luis Rengifo,MLB,2B,1,$1.00,,,19858,37237
362,FA,Ketel Marte,MLB,2B,1,$1.00,,,13613,32512
363,FA,Jose Altuve,MLB,2B,1,$1.00,,,5417,31662
364,FA,Jorge Polanco,MLB,2B,1,$1.00,,,13152,32525
365,FA,Joey Ortiz,MLB,2B,1,$1.00,,,25493,42958
366,FA,Jake Cronenworth,MLB,2B,1,$1.00,,,18036,36364
367,FA,Abraham Toro,MLB,2B,1,$1.00,,,19844,40754
368,FA,Juan Yepez,MLB,1B,1,$1.00,,,18400,4895558
369,FA,Yandy Diaz,MLB,1B,1,$1.00,,,16578,33481
370,FA,Ryan Noda,MLB,1B,1,$1.00,,,23312,40518
371,FA,Paul Goldschmidt,MLB,1B,1,$1.00,,,9218,31027
372,FA,Matt Olson,MLB,1B,1,$1.00,,,14344,32767
373,FA,Josh Naylor,MLB,1B,1,$1.00,,,18839,35066
374,FA,Freddie Freeman,MLB,1B,1,$1.00,,,5361,30193
375,FA,Connor Joe,MLB,1B,1,$1.00,,,16572,35440
376,FA,Christian Walker,MLB,1B,1,$1.00,,,13419,32758
377,FA,Bryce Harper,MLB,1B,1,$1.00,,,11579,30951
378,Cheating Raiders,Corbin Burnes,MLB,SP,1,80%,³,,19361,39878
379,Cheating Raiders,Mitch Keller,MLB,SP,1,80%,³,,17594,33722
380,FA,Nelson Velazquez,MLB,OF,1,$1.00,,,23359,41047
381,FA,Michael Conforto,MLB,OF,1,$1.00,,,16376,33711
382,FA,Randy Arozarena,MLB,OF,1,$1.00,,,19290,36488
383,FA,Bryce Elder,MLB,SP,1,$1.00,,,27779,4301067
384,FA,Erick Fedde,MLB,SP,1,$1.00,,,17425,33793
385,FA,Eduardo Rodriguez,MLB,SP,1,$1.00,,,13164,32675
386,FA,Drew Rasmussen,MLB,SP,1,$1.00,,,25385,42584
387,FA,Dean Kremer,MLB,SP,1,$1.00,,,19350,38295
388,FA,Dane Dunning,MLB,SP,1,$1.00,,,19409,36080
389,FA,Dakota Hudson,MLB,SP,1,$1.00,,,19206,38680
390,FA,Cristian Javier,MLB,SP,1,$1.00,,,17606,41261
391,Bayou Shooters,Rafael Devers,MLB,3B,1,80%,³,,17350,33859
392,FA,Chris Sale,MLB,SP,1,$1.00,,,10603,30948
393,FA,Chris Bassitt,MLB,SP,1,$1.00,,,12304,33148
394,FA,Charlie Morton,MLB,SP,1,$1.00,,,4676,29155
395,FA,Cal Quantrill,MLB,SP,1,$1.00,,,19312,39875
396,FA,Bryan Woo,MLB,SP,1,$1.00,,,30279,4629089
397,FA,Blake Snell,MLB,SP,1,$1.00,,,13543,33748
398,FA,Bailey Ober,MLB,SP,1,$1.00,,,21224,3107919
399,FA,Andrew Heaney,MLB,SP,1,$1.00,,,15423,32672
400,FA,Andrew Abbott,MLB,SP,1,$1.00,,,29911,4414528
401,FA,Alek Manoah,MLB,SP,1,$1.00,,,26410,42436
402,FA,Adrian Houser,MLB,SP,1,$1.00,,,12718,32157
403,FA,Aaron Nola,MLB,SP,1,$1.00,,,16149,33709
404,FA,Aaron Civale,MLB,SP,1,$1.00,,,19479,40934
405,FA,Yimi Garcia,MLB,RP,1,$1.00,,,12095,32888
406,FA,Ronald Acuna,MLB,OF,1,$1.00,,,18401,36185
407,FA,Framber Valdez,MLB,SP,1,$1.00,,,17295,36581
408,FA,Javier Assad,MLB,SP,1,$1.00,,,21741,5002950
409,FA,Ryan Walker,MLB,RP,1,$1.00,,,20423,5000950
410,FA,Kodai Senga,MLB,SP,1,$1.00,,,31838,4142421
411,FA,Matt Waldron,MLB,SP,1,$1.00,,,25550,4020158
412,FA,Martin Perez,MLB,SP,1,$1.00,,,6902,31098
413,FA,Marcus Stroman,MLB,SP,1,$1.00,,,13431,32815
414,FA,Luis Gil,MLB,SP,1,$1.00,,,21052,40626
415,FA,Luis Castillo,MLB,SP,1,$1.00,,,15689,35124
416,FA,Logan Webb,MLB,SP,1,$1.00,,,17995,41216
417,FA,Lance Lynn,MLB,SP,1,$1.00,,,2520,30820
418,FA,Kyle Wright,MLB,SP,1,$1.00,,,19665,39652
419,FA,Kyle Hendricks,MLB,SP,1,$1.00,,,12049,33173
420,FA,Kyle Gibson,MLB,SP,1,$1.00,,,10123,31053
421,FA,Kyle Bradish,MLB,SP,1,$1.00,,,24586,4311625
422,FA,Kutter Crawford,MLB,SP,1,$1.00,,,20531,41277
423,FA,Kevin Gausman,MLB,SP,1,$1.00,,,14107,32667
424,FA,Jeffrey Springs,MLB,SP,1,$1.00,,,17677,35397
425,FA,Kenta Maeda,MLB,SP,1,$1.00,,,18498,34892
426,FA,Keaton Winn,MLB,SP,1,$1.00,,,23499,
427,FA,Justin Verlander,MLB,SP,1,$1.00,,,8700,6341
428,FA,Justin Steele,MLB,SP,1,$1.00,,,17312,41022
429,FA,Julio Urias,MLB,SP,1,$1.00,,,14765,33223
430,FA,JP Sears,MLB,SP,1,$1.00,,,23429,39818
431,FA,Jose Urquidy,MLB,SP,1,$1.00,,,18413,35759
432,FA,Jose Berrios,MLB,SP,1,$1.00,,,14168,32811
433,FA,Jon Gray,MLB,SP,1,$1.00,,,14916,33203
434,FA,John Means,MLB,SP,1,$1.00,,,16269,39948
435,FA,Joe Ryan,MLB,SP,1,$1.00,,,21390,42450
436,FA,Tanner Scott,MLB,RP,1,$1.00,,,17586,35135
437,FA,David Bednar,MLB,RP,1,$1.00,,,19569,38303
438,FA,Evan Phillips,MLB,RP,1,$1.00,,,17734,37911
439,FA,David Robertson,MLB,RP,1,$1.00,,,8241,29172
440,FA,Ryan Helsley,MLB,RP,1,$1.00,,,18138,39909
441,FA,Craig Kimbrel,MLB,RP,1,$1.00,,,6655,30653
442,FA,Clay Holmes,MLB,RP,1,$1.00,,,13649,32827
443,FA,Chris Devenski,MLB,RP,1,$1.00,,,12763,32511
444,FA,Chad Green,MLB,RP,1,$1.00,,,15552,33325
445,FA,Carlos Estevez,MLB,RP,1,$1.00,,,14542,34861
446,FA,Camilo Doval,MLB,RP,1,$1.00,,,21992,41337
447,FA,Calvin Faucher,MLB,RP,1,$1.00,,,20116,
448,FA,Bowden Francis,MLB,RP,1,$1.00,,,20548,4734325
449,FA,Alexis Diaz,MLB,RP,1,$1.00,,,21132,4905920
450,FA,Alex Lange,MLB,RP,1,$1.00,,,19883,40976
451,FA,Adbert Alzolay,MLB,RP,1,$1.00,,,17859,39802
452,FA,Abner Uribe,MLB,RP,1,$1.00,,,25327,
453,FA,A.J. Puk,MLB,RP,1,$1.00,,,19343,36201
454,FA,Garrett Mitchell,MLB,OF,1,$1.00,,,27555,4313442
455,Bayou Shooters,Alex Verdugo,MLB,OF,1,80%,³,,17027,33786
456,FA,Juan Soto,MLB,OF,1,$1.00,,,20123,36969
457,FA,Kristian Robinson,MLB,OF,1,$1.00,,,sa3006884,39677
458,FA,George Valera,MLB,OF,1,$1.00,,,sa3006872,41030
459,FA,Victor Robles,MLB,OF,1,$1.00,,,18363,35042
460,FA,TJ Friedl,MLB,OF,1,$1.00,,,19522,36020
461,FA,Teoscar Hernandez,MLB,OF,1,$1.00,,,13066,33377
462,FA,Taylor Ward,MLB,OF,1,$1.00,,,17548,34923
463,FA,Steven Kwan,MLB,OF,1,$1.00,,,24610,41996
464,Cheating Raiders,Clarke Schmidt,MLB,SP,1,$1.00,@,,19899,41085
465,FA,Josh Hader,MLB,RP,1,$1.00,,,14212,32760
466,FA,Kyle Finnegan,MLB,RP,1,$1.00,,,15009,36543
467,FA,Kirby Yates,MLB,RP,1,$1.00,,,9073,32623
468,FA,Kevin Ginkel,MLB,RP,1,$1.00,,,19876,41432
469,FA,Raisel Iglesias,MLB,RP,1,$1.00,,,17130,33618
470,FA,Reed Garrett,MLB,RP,1,$1.00,,,16866,
471,FA,Kenley Jansen,MLB,RP,1,$1.00,,,3096,29630
472,FA,Robert Stephenson,MLB,RP,1,$1.00,,,13594,32134
473,FA,Jose Leclerc,MLB,RP,1,$1.00,,,14524,33926
474,FA,Jose Alvarado,MLB,RP,1,$1.00,,,17780,36063
475,FA,Jordan Romano,MLB,RP,1,$1.00,,,16122,36380
476,FA,Robert Suarez,MLB,RP,1,$1.00,,,30115,4148749
477,FA,Paul Sewald,MLB,RP,1,$1.00,,,13892,35009
478,FA,Joel Payamps,MLB,RP,1,$1.00,,,14332,
479,FA,Jhoan Duran,MLB,RP,1,$1.00,,,21029,41109
480,FA,Jeff Hoffman,MLB,RP,1,$1.00,,,17432,33841
481,FA,Jason Foley,MLB,RP,1,$1.00,,,19531,42698
482,FA,Hunter Harvey,MLB,RP,1,$1.00,,,15507,33191
483,FA,Hector Neris,MLB,RP,1,$1.00,,,11804,32377
484,FA,Griffin Jax,MLB,RP,1,$1.00,,,20253,42604
485,West Coast Spartans,Eugenio Suarez,AAA,3B,0,AAA opt,,,12552,32367
486,West Coast Spartans,Justin Turner,AAA,1B,0,AAA opt,,,5235,29607
487,Bayou Shooters,Patrick Sandoval,AAA,SP,0,AAA opt,,,19447,40975
488,Young Bucks,Trevor Williams,AAA,SP,0,AAA opt,,,16977,33305
489,Young Bucks,DJ LeMahieu,AAA,1B,0,AAA opt,,,9874,30765
490,Bayou Shooters,Steven Matz,AAA,RP,0,AAA opt,,,13361,33106
491,Bayou Shooters,Anthony Rizzo,AAA,1B,0,AAA opt,,,3473,30782
492,Bayou Shooters,Tyler O'Neill,AAA,OF,0,AAA opt,,,15711,34168
493,Young Bucks,Taijuan Walker,AAA,SP,0,AAA opt,,,11836,31864
494,Young Bucks,Alejandro Kirk,AAA,C,0,AAA opt,,,22581,42081
495,Young Bucks,Jeff McNeil,AAA,2B,0,AAA opt,,,15362,33900
496,Bayou Shooters,Justin Lawrence,AAA,RP,0,AAA opt,,,17639,
497,Ryno World,Jake Irvin,AAA,SP,0,AAA opt,,,21504,41290
498,Cheating Raiders,Shea Langeliers,AAA,C,0,AAA opt,,,25816,42598
499,Cheating Raiders,Kerry Carpenter,AAA,OF,0,AAA opt,,,25961,42714
500,Midtown Jaguars,Scott Barlow,AAA,RP,0,AAA opt,,,14993,32156
501,Midtown Jaguars,Tyler Anderson,AAA,SP,0,AAA opt,,,12880,32151
502,Orlando Renegades,Jack Suwinski,AAA,OF,0,AAA opt,,,22244,36754
503,Orlando Renegades,Paul Blackburn,AAA,SP,0,AAA opt,,,14739,32776
504,Ryno World,Jose Abreu,AAA,1B,0,AAA opt,,,15676,33095
505,Ryno World,Matt Chapman,AAA,3B,0,AAA opt,,,16505,33857
506,Ryno World,Gary Sanchez,AAA,C,0,AAA opt,,,11442,31095
507,Ryno World,Kris Bryant,AAA,OF,0,AAA opt,,,15429,33172
508,Ryno World,Whit Merrifield,AAA,OF,0,AAA opt,,,11281,32422
509,Ryno World,Aroldis Chapman,AAA,RP,0,AAA opt,,,10233,30442
510,Ryno World,Joe Ross,AAA,SP,0,AAA opt,,,12972,32684
511,Dip City Thunder,Brandon Drury,AAA,1B,0,AAA opt,,,11615,32269
512,Cheating Raiders,Orlando Arcia,AAA,SS,0,AAA opt,,,13185,32530
513,Dip City Thunder,Miles Mikolas,AAA,SP,0,AAA opt,,,9803,32116
514,Dip City Thunder,Ryan Jeffers,AAA,C,0,AAA opt,,,24618,41587
515,Dip City Thunder,Ezequiel Duran,AAA,3B,0,AAA opt,,,23733,42457
516,Dip City Thunder,Luis Severino,AAA,SP,0,AAA opt,,,15890,33263
517,Detroit Nittany Tide,Colin Rea,AAA,RP,0,AAA opt,,,12317,33950
518,Detroit Nittany Tide,Jameson Taillon,AAA,SP,0,AAA opt,,,11674,31258
519,Detroit Nittany Tide,Tyler Stephenson,AAA,C,0,AAA opt,,,17988,34975
520,Detroit Nittany Tide,Ty France,AAA,1B,0,AAA opt,,,17982,35591
521,Country Strong,James Paxton,AAA,SP,0,AAA opt,,,11828,31980
522,Cheating Raiders,Brent Rooker,AAA,OF,0,AAA opt,,,19627,40926
523,Cheating Raiders,Elias Diaz,AAA,C,0,AAA opt,,,11680,33594
524,Cheating Raiders,Josh Bell,AAA,1B,0,AAA opt,,,13145,32517
525,Young Bucks,Jose Quintana,AAA,SP,0,AAA opt,,,11423,32106
